State,Unemployment Rate,White,Population
Alabama,10.5,65.8,4779736
Alaska,7.9,76.5,710231
Arizona,10.4,67.8,6392017
Arkansas,8.2,78.3,2915918
California,12.2,63.6,37253956
Colorado,8.7,70.9,5029196
Columbia,9.4,63.8,3574097
Connecticut,9.1,21.6,897934
Delaware,8.4,79.7,601723
Florida,11.1,69.7,18801310
Georgia,10.5,55.9,9687653
Hawaii,6.9,23.9,1360301
Idaho,9,72.9,1567582
Illinois,10.4,74.7,12830632
Indiana,10.4,81.3,6483802
Iowa,6,87.6,3046355
Kansas,7.1,84.1,2853118
Kentucky,10.2,85,4339367
Louisiana,8,63.4,4533372
Maine,8.1,93,1328361
Maryland,7.7,59.2,5773552
Massachusetts,8.3,75.6,6547629
Michigan,12.6,78.5,9883640
Minnesota,7.4,79.7,5303925
Mississippi,10.4,61.5,2967297
Montana,7.3,80.9,989415
Nebraska,4.6,80.6,1826341
Nevada,13.5,62.3,2700551
New Hampshire,5.8,89.9,1316470
New Jersey,9.5,70.2,8791894
New Mexico,8.1,74.4,2059179
New York,8.6,67.2,19378102
North Carolina,10.9,62.8,9535483
North Dakota,3.8,76.2,672591
Ohio,10.3,81.8,11536504
Oklahoma,6.8,70.6,3751351
Oregon,10.6,75.9,3831074
Pennsylvania,8.5,81.3,12702379
Rhode Island,11.2,78.9,1052567
South Carolina,11.2,57.4,4625364
South Dakota,5,78.4,814180
Tennessee,9.7,70.8,6346105
Texas,8.1,67.6,25145561
Utah,7.8,70.6,2763885
Vermont,6.1,92.9,625741
Virginia,7.1,65.4,8001024
Washington,10,67.9,6724540
West Virginia,8.7,97.2,1852994
Wisconsin,8.7,84.4,5686986
Wyoming,6.4,89.2,563626
