Income,Race
51734,64.1
75463,59.4
62055,60.4
48952,70.2
80440,41.2
77127,70.7
78833,39.6
70176,66.4
59227,60.4
61980,57.7
81102,51.9
60999,22.9
69187,82.1
57603,61.4
61691,77.2
62087,84.5
52295,77
51073,82.4
58924,57.1
86738,90.8
85843,48.7
59584,69.6
74593,73.9
45792,77.5
57409,56
57153,84.5
63229,78.4
63276,51.2
77933,88.3
85751,55
51945,51
72108,55.2
57341,62.2
64577,82.9
58642,77
54449,63.5
67058,74.8
63463,75
71169,71.3
56227,63.4
59533,80.7
56071,72.2
64034,50.1
75780,78.7
63001,89.8
76456,60.3
78687,66.6
48850,89.8
64168,80.4
65003,84.7
