Country,GDPperCapita
Luxembourg,"115536.20"
Switzerland,"83161.90"
Norway,"81550.00"
Ireland,"78334.90"
Iceland,"74515.50"
Denmark,"60897.20"
Netherlands,"53228.30"
Sweden,"54356.10"
Austria,"51343.50"
Finland,"49737.60"
San Marino,"48948.10"
Germany,"47662.50"
Belgium,"46696.00"
France,"42953.30"
United Kingdom,"42579.80"
Italy,"34320.80"
Malta,"30608.50"
Spain,"30733.20"
Cyprus,"28341.10"
Slovenia,"26145.70"
Estonia,"23330.30"
Czech Republic,"23112.60"
Portugal,"23437.40"
Greece,"20317.20"
Slovak Republic,"19579.30"
Lithuania,"18994.40"
Latvia,"18032.60"
Hungary,"16484.20"
Croatia,"14870.40"
Poland,"15425.70"
Romania,"12269.80"
Russia,"11289.40"
Bulgaria,"9313.80"
Turkey,"9405.30"
Montenegro,"8762.70"
Serbia,"7223.00"
Belarus,"6283.50"
North Macedonia,"6100.40"
Bosnia and Herzegovina,"5754.70"
Albania,"5239.20"
Azerbaijan,"4722.30"
Armenia,"4187.60"
Kosovo,"4432.60"
Georgia,"43346.20"
Ukraine,"3112.90"
Moldova,"3190.80"
