Date,Race,Income/week
2000-01-01,Black,275
2001-01-01,Black,278
2002-01-01,Black,277
2003-01-01,Black,280
2004-01-01,Black,279
2005-01-01,Black,267
2006-01-01,Black,275
2007-01-01,Black,275
2008-01-01,Black,274
2009-01-01,Black,280
2010-01-01,Black,280
2011-01-01,Black,274
2012-01-01,Black,271
2013-01-01,Black,270
2014-01-01,Black,270
2015-01-01,Black,271
2016-01-01,Black,282
2017-01-01,Black,278
2018-01-01,Black,277
2019-01-01,Black,288
2020-01-01,Black,308
2021-01-01,Black,296
2000-01-01,White,343
2001-01-01,White,345
2002-01-01,White,347
2003-01-01,White,346
2004-01-01,White,348
2005-01-01,White,345
2006-01-01,White,342
2007-01-01,White,345
2008-01-01,White,345
2009-01-01,White,353
2010-01-01,White,351
2011-01-01,White,345
2012-01-01,White,345
2013-01-01,White,344
2014-01-01,White,345
2015-01-01,White,353
2016-01-01,White,359
2017-01-01,White,363
2018-01-01,White,365
2019-01-01,White,370
2020-01-01,White,388
2021-01-01,White,376
2000-01-01,Hispanic,232
2001-01-01,Hispanic,235
2002-01-01,Hispanic,236
2003-01-01,Hispanic,240
2004-01-01,Hispanic,242
2005-01-01,Hispanic,241
2006-01-01,Hispanic,242
2007-01-01,Hispanic,243
2008-01-01,Hispanic,246
2009-01-01,Hispanic,252
2010-01-01,Hispanic,246
2011-01-01,Hispanic,245
2012-01-01,Hispanic,247
2013-01-01,Hispanic,248
2014-01-01,Hispanic,251
2015-01-01,Hispanic,255
2016-01-01,Hispanic,261
2017-01-01,Hispanic,267
2018-01-01,Hispanic,271
2019-01-01,Hispanic,276
2020-01-01,Hispanic,293
2021-01-01,Hispanic,287
2000-01-01,Asian,357
2001-01-01,Asian,362
2002-01-01,Asian,366
2003-01-01,Asian,376
2004-01-01,Asian,375
2005-01-01,Asian,385
2006-01-01,Asian,389
2007-01-01,Asian,401
2008-01-01,Asian,400
2009-01-01,Asian,412
2010-01-01,Asian,391
2011-01-01,Asian,384
2012-01-01,Asian,400
2013-01-01,Asian,404
2014-01-01,Asian,403
2015-01-01,Asian,422
2016-01-01,Asian,426
2017-01-01,Asian,428
2018-01-01,Asian,436
2019-01-01,Asian,462
2020-01-01,Asian,503
2021-01-01,Asian,485
