Date,Black,White,Hispanic ,Asian,
2000-01-01,275,343,232,357,
2001-01-01,278,345,235,362,
2002-01-01,277,347,236,366,
2003-01-01,280,346,240,376,
2004-01-01,279,348,242,375,
2005-01-01,267,345,241,385,
2006-01-01,275,342,242,389,
2007-01-01,275,345,243,401,
2008-01-01,274,345,246,400,
2009-01-01,280,353,252,412,
2010-01-01,280,351,246,391,
2011-01-01,274,345,245,384,
2012-01-01,271,345,247,400,
2013-01-01,270,344,248,404,
2014-01-01,270,345,251,403,
2015-01-01,271,353,255,422,
2016-01-01,282,359,261,426,
2017-01-01,278,363,267,428,
2018-01-01,277,365,271,436,
2019-01-01,288,370,276,462,
2020-01-01,308,388,293,503,
2021-01-01,296,376,287,485,
,,,,,
