Date,Asset Value (millions),Stock Price,,,,,,,,,,
 26/06/2022,"68,513",249.37,,,,,,,,,,
19/06/2022,,224.6,,,,,,,,,,
12/06/2022,,223.17,,,,,,,,,,
05/06/2022,,244.35,,,,,,,,,,
29/05/2022,,257.95,,,,,,,,,,
22/05/2022,,218.34,,,,,,,,,,
15/05/2022,,255.72,,,,,,,,,,
08/05/2022,,278.82,,,,,,,,,,
01/05/2022,,286.92,,,,,,,,,,
24/04/2022,,326.32,,,,,,,,,,
17/04/2022,,329.68,,,,,,,,,,
10/04/2022,,326.8,,,,,,,,,,
03/04/2022,,363.13,,,,,,,,,,
27/03/2022,66038,355.03,,,,,,,,,,
20/03/2022,,304.99,,,,,,,,,,
13/03/2022,,260.2,,,,,,,,,,
07/03/2022,,285.43,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
