Date,Indicator,Stock Price,,,,,,,,,,
 26/06/2022,Stock Price,249.37,,,,,,,,,,
19/06/2022,Stock Price,224.6,,,,,,,,,,
12/06/2022,Stock Price,223.17,,,,,,,,,,
05/06/2022,Stock Price,244.35,,,,,,,,,,
29/05/2022,Stock Price,257.95,,,,,,,,,,
22/05/2022,Stock Price,218.34,,,,,,,,,,
15/05/2022,Stock Price,255.72,,,,,,,,,,
08/05/2022,Stock Price,278.82,,,,,,,,,,
01/05/2022,Stock Price,286.92,,,,,,,,,,
24/04/2022,Stock Price,326.32,,,,,,,,,,
17/04/2022,Stock Price,329.68,,,,,,,,,,
10/04/2022,Stock Price,326.8,,,,,,,,,,
03/04/2022,Stock Price,363.13,,,,,,,,,,
27/03/2022,Stock Price,355.03,,,,,,,,,,
20/03/2022,Stock Price,304.99,,,,,,,,,,
13/03/2022,Stock Price,260.2,,,,,,,,,,
07/03/2022,Stock Price,285.43,,,,,,,,,,
27/03/2022,Asset Value (millions),"68,513",,,,,,,,,,
 26/06/2022,Asset Value (millions),66038,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
